Main Topic,Subtopic
14. Problemas da língua culta,14.12Dia-a-dia - dia a dia
14. Problemas da língua culta,14.13Tampouco- tão pouco
14. Problemas da língua culta,14.14Mal-Mau
15. Interpretação de Textos,15.1Noções Gerais de Compreensão e Interpretação de Texto
15. Interpretação de Textos,15.2Tipologia Textual
15. Interpretação de Textos,"15.3Tipos de Discurso: Direto, Indireto e Indireto Livre"
15. Interpretação de Textos,15.4Gêneros Textuais
15. Interpretação de Textos,15.5Significação Contextual de Palavras e Expressões. Sinônimos e Antônimos.
15. Interpretação de Textos,15.6Variação Linguística
15. Interpretação de Textos,15.7Denotação e Conotação
15. Interpretação de Textos,"15.8Funções da Linguagem: emotiva, apelativa, referencial, metalinguística, fática e poética."
15. Interpretação de Textos,15.9Intertextualidade
15. Interpretação de Textos,15.10Figuras de Linguagem
15. Interpretação de Textos,15.11Vícios da linguagem
15. Interpretação de Textos,15.12Coesão e coerência
15. Interpretação de Textos,15.13Paralelismo sintático e semântico
15. Interpretação de Textos,15.14Redação - Reescritura de texto
16. Fonologia,16.1Noções de Fonética
16. Fonologia,16.2Fonemas e Letras
16. Fonologia,16.3Divisão Silábica
16. Fonologia,"16.4Sílaba: Monossílabos, Dissílabos, Trissílabos, Polissílabos"
16. Fonologia,"16.5Encontros vocálicos: Ditongo, Tritongo, Hiato"
16. Fonologia,16.6Encontros consonantais: Dígrafos
