Discipline,Main Topic,Subtopics
Português,14. Problemas da língua culta,"14.1 Por que- porque/ porquê/ por quê, 14.2 Onde-aonde, 14.3 Mas-mais, 14.4 Cessão-sessão/secção/seção, 14.5 Há-a, 14.6 Senão- se não, 14.7 Ao invés de- em vez de, 14.8 Ao encontro- de encontro, 14.9 Acerca de- Há cerca de, 14.10 A fim de- afim, 14.11 Demais- de mais, 14.12 Dia-a-dia - dia a dia, 14.13 Tampouco- tão pouco, 14.14 Mal-Mau"
Português,15. Interpretação de Textos,"15.1 Noções Gerais de Compreensão e Interpretação de Texto, 15.2 Tipologia Textual, 15.3 Tipos de Discurso: Direto, Indireto e Indireto Livre, 15.4 Gêneros Textuais, 15.5 Significação Contextual de Palavras e Expressões. Sinônimos e Antônimos., 15.6 Variação Linguística, 15.7 Denotação e Conotação, 15.8 Funções da Linguagem: emotiva, apelativa, referencial, metalinguística, fática e poética., 15.9 Intertextualidade, 15.10 Figuras de Linguagem, 15.11 Vícios da linguagem, 15.12 Coesão e coerência, 15.13 Paralelismo sintático e semântico, 15.14 Redação - Reescritura de texto"
Português,16. Fonologia,"16.1 Noções de Fonética, 16.2 Fonemas e Letras, 16.3 Divisão Silábica, 16.4 Sílaba: Monossílabos, Dissílabos, Trissílabos, Polissílabos, 16.5 Encontros vocálicos: Ditongo, Tritongo, Hiato, 16.6 Encontros consonantais: Dígrafos"
Direito Constitucional,1. Teoria da Constituição,"1.1 Conceito de Constituição, 1.2 Constitucionalismo, 1.3 Poder Constituinte Originário, Derivado e Decorrente - Reforma (Emendas e Revisão) e Mutação da Constituição, 1.4 Métodos de Interpretação Constitucional, 1.5 Princípios de Interpretação Constitucional, 1.6 Classificação das Constituições, 1.7 Classificação das Normas Constitucionais, 1.8 História Constitucional Brasileira"
Direito Constitucional,2. Preâmbulo da Constituição da República Federativa do Brasil  - 1988,
Direito Constitucional,3. Princípios Fundamentais da República,"3.1 Forma, Sistema e Fundamentos da República, 3.2 Objetivos Fundamentais da República, 3.3 Princípios de Direito Constitucional Internacional"
Direito Constitucional,4. Teoria dos Direitos Fundamentais,
Direito Constitucional,5. Direitos Individuais,"5.1 Direito à Vida, 5.2 Direito à Liberdade, 5.3 Direito à Igualdade, 5.4 Direito à Privacidade, 5.5 Direito à Honra, 5.6 Direito de Propriedade"
Direito Constitucional,6. Direitos Individuais - Remédios Constitucionais e Garantias Processuais,"6.1 Remédios e Garantias Constitucionais, 6.2 Habeas Corpus, 6.3 Habeas Data, 6.4 Mandado de Segurança, 6.5 Mandado de Segurança Coletivo, 6.6 Mandado de Injunção, 6.7 Ação Popular, 6.8 Direitos Constitucionais-Penais e Garantias Constitucionais do Processo"
Direito Constitucional,7. Direitos Sociais,
Direito Constitucional,8. Direitos da Nacionalidade,
Direito Constitucional,9. Direitos Políticos,
Direito Constitucional,10. Partidos Políticos,
Direito Constitucional,11. Organização Político-Administrativa do Estado,"11.1 Formas de Estado - Estado Unitário, Confederação e Federação, 11.2 O Federalismo Brasileiro, 11.3 Repartição de Competências Constitucionais, 11.4 Organização do Estado - União, 11.5 Organização do Estado – Estados, 11.6 Organização do Estado – Municípios, 11.7 Organização do Estado - Distrito Federal e Territórios, 11.8 Intervenção Federal e Estadual"
Direito Constitucional,12. Administração Pública – Disposições Gerais e Servidores Públicos,"12.1 Princípios da Administração Pública, 12.2 Servidores Públicos, 12.3 Disposições Gerais na Administração Pública"
Direito Constitucional,13. Organização dos Poderes,13.1 Princípio da Separação dos Poderes
Direito Constitucional,14. Poder Legislativo,"14.1 Funções Típicas e Atípicas, 14.2 Congresso Nacional, 14.3 Câmara dos Deputados, 14.4 Senado Federal, 14.5 Vedações, Garantias e Imunidades Parlamentares, 14.6 Comissões Parlamentares e Comissões Parlamentares de Inquérito (CPIs), 14.7 Tribunal de Contas da União (TCU) e Fiscalização Contábil, Financeira e Orçamentária da União, 14.8 Tribunais de Contas dos Estados (TCEs) e Tribunais e Conselhos de Contas dos Municípios"
Direito Constitucional,15. Processo Legislativo,"15.1 Processo Legislativo Ordinário, 15.2 Fase Introdutória – Iniciativa de Lei por Parlamentar e Extra-Parlamentar, 15.3 Fase Constitutiva, 15.4 Deliberação Parlamentar, 15.5 Regime de Urgência (Processo Legislativo Sumário), 15.6 Deliberação Executiva, 15.7 Fase Complementar, 15.8 Espécies Normativas: Lei Complementar e Lei Ordinária, 15.9 Espécies Normativas: Medida Provisória, Lei Delegada, Decreto Legislativo e Resolução"
Direito Constitucional,16. Poder Executivo,"16.1 Presidente da República, Vice-Presidente da República e Ministros de Estado., 16.2 Imunidade, Crimes Comuns, Crimes de Responsabilidade (Lei nº 1.079 de 1950) e Impeachment, 16.3 Conselho da República e Conselho de Defesa Nacional"
Direito Constitucional,17. Poder Judiciário,"17.1 Disposições Gerais no Poder Judiciário, 17.2 Garantias do Poder Judiciário e de seus Membros, 17.3 Vedações, 17.4 Quinto Constitucional da OAB e do MP"
Direito Constitucional,18. Organização do Poder Judiciário,"18.1 Superior Tribunal de Justiça, 18.2 Tribunais Regionais Federais e Juízes Federais, 18.3 Tribunais Regionais do Trabalho e Juízes do Trabalho, 18.4 Tribunais Regionais Eleitorais e Juízes Eleitorais, 18.5 Justiça Militar, 18.6 Tribunais e Juízes dos Estados, 18.7 Supremo Tribunal Federal, 18.8 Conselho Nacional de Justiça"
Direito Constitucional,19. Funções Essenciais à Justiça,"19.1 Ministério Público, 19.2 Advocacia Pública, 19.3 Advocacia, 19.4 Defensoria Pública no Direito Constitucional"
Direito Constitucional,20. Controle de Constitucionalidade,"20.1 Controle Preventivo: Comissões de Constituição e Justiça e Veto Jurídico, 20.2 Controle Repressivo do Poder Legislativo, 20.3 Controle Repressivo do Poder Judiciário: o Controle Difuso ou Aberto, 20.4 Repercussão Geral, 20.5 Recurso Extraordinário, 20.6 Súmula Vinculante, 20.7 Ação Direta de Inconstitucionalidade Genérica - ADI ou ADIN, 20.8 Ação Declaratória de Constitucionalidade - ADC, 20.9 Arguição de Descumprimento de Preceito Fundamental - ADPF, 20.10 Ação Direta de Inconstitucionalidade por Omissão - ADO, 20.11 Ação Direta de Inconstitucionalidade Interventiva, 20.12 Reclamação Constitucional"
Direito Constitucional,21. Defesa do Estado e das Instituições Democráticas,"21.1 Estado de Defesa, 21.2 Estado de Sítio, 21.3 Forças Armadas e Segurança Pública"
Direito Constitucional,22. Ordem Econômica e Financeira,"22.1 Princípios Gerais da Atividade Econômica, 22.2 Intervenção do Estado no Domínio Econômico, 22.3 Política Urbana, 22.4 Política Agrícola, Fundiária e Reforma Agrária, 22.5 Sistema Financeiro Nacional, 22.6 Finanças Públicas – Orçamento, 22.7 Sistema Tributário Nacional"
Direito Constitucional,23. Ordem Social,"23.1 Saúde, 23.2 Previdência Social, 23.3 Assistência Social, 23.4 Educação, Cultura e Desporto, 23.5 Ciência, Tecnologia e Comunicação Social, 23.6 Meio Ambiente, 23.7 Família, Criança, Adolescente e Idoso, 23.8Índios"
Direito Constitucional,24. Disposições Constitucionais Gerais,
Direito Constitucional,25. Ato das Disposições Constitucionais Transitórias - ADCT,
Direito Constitucional,26. Constituições Estaduais,
Direito Administrativo,"1. Conceitos iniciais de Direito Administrativo - Histórico, Funções de Estado e Fontes",
Direito Administrativo,2. Regime jurídico administrativo,"2.1 Conceito de administração pública, 2.2 Princípios da Administração Pública, 2.3 Princípios - Legalidade, Impessoalidade, Moralidade, Publicidade e Eficiência, 2.4 Princípios - Contraditório e Ampla Defesa e Segurança Jurídica, 2.5 Princípios - Proporcionalidade, Razoabilidade, Motivação, Autotutela e Outros Princípios"
Direito Administrativo,3. Organização da Administração Pública,"3.1 Desconcentração e Descentralização Administrativa, 3.2 Administração Direta, 3.3Órgãos Públicos, 3.4 Administração Indireta, 3.5 Autarquias, 3.6 Agências Reguladoras na Organização da Administração Pública, 3.7 Fundações Públicas, 3.8 Empresas Públicas e Sociedades de Economia Mista, 3.9 Consórcios públicos, 3.10 Entidades Paraestatais ou Terceiro Setor"
Direito Administrativo,4. Poderes da Administração,"4.1 Abuso de Poder, 4.2 Poder vinculado e discricionário, 4.3 Poder normativo, poder hierárquico e poder disciplinar, 4.4 Poder de polícia"
Direito Administrativo,5. Atos administrativos,"5.1 Conceito e classificação dos atos administrativos, 5.2 Requisitos do ato administrativo – competência, finalidade, forma, motivo e objeto, 5.3 Existência, Validade e Eficácia do Ato Administrativo, 5.4 Atributos do ato administrativo – presunção de legitimidade, imperatividade, autoexecutoriedade e tipicidade, 5.5 Extinção dos atos administrativos, 5.6 Teoria das nulidades, 5.7 Teoria dos motivos determinantes, 5.8 Atos administrativos em espécie"
Direito Administrativo,6. Processo Administrativo - Lei nº 9.784 de 1999 e Lei nº 14.210 de 2021,"6.1 Início e interessados no processo administrativo, delegação e avocação de competências, 6.2 Definições gerais, direitos e deveres dos administrados, 6.3 Demais aspectos da lei 9.784/99, 6.4 Inquérito Administrativo - PAD, 6.5 Recursos Administrativos no Processo Administrativo"
Direito Administrativo,7. Licitações e Lei 8.666 de 1993.,"7.1 Conceito, Competência Legislativa, Sujeitos e Finalidades, 7.2 Princípios das Licitações, 7.3 Objeto e Obrigatoriedade da Licitação, 7.4 Dispensa de licitação, 7.5 Inexigibilidade de licitação, 7.6 Tipos e Modalidades – Concorrência, tomada de preços, convite, concurso e leilão, 7.7 Procedimento licitatório e julgamento das propostas: edital, habilitação, classificação, homologação e adjudicação, 7.8 Recursos Administrativos em Licitações, 7.9 Anulação e revogação, 7.10 Crimes na Lei de Licitações, 7.11 Pregão - Lei nº 10.520 de 2002 e Decretos Regulamentares, 7.12 RDC - Regime Diferenciado de Contratações - Lei nº 12.462 de 2011, 7.13 Licitação nas Empresas Estatais - Lei nº 13.303 de 2016 - Estatuto Jurídico da Empresa Pública e da Sociedade de Economia Mista, 7.14 Sistema de Registro de Preços - Decreto n° 7.892 de 2013"
Direito Administrativo,8. Contratos Administrativos,"8.1 Conceito e Características, 8.2 Cláusulas Exorbitantes e Equilíbrio Econômico-Financeiro, 8.3 Duração, Extinção, Inexecução, Sanções e Responsabilidade"
Direito Administrativo,9. Licitações e Lei nº 14.133 de 2021,"9.1 Conceito, Competência Legislativa, Sujeitos e Finalidades em Licitações e Lei nº 14.133 de 2021, 9.2 Princípios das Licitações e Lei nº 14.133 de 2021, 9.3 Agentes da Licitação, 9.4 Modalidades e Critérios de Julgamento, 9.5 Fases e Processo Licitatório, 9.6 Contratação Direta, 9.7 Alienações e Instrumentos Auxiliares, 9.8 Irregularidades"
Direito Administrativo,10. Contratos Administrativos – Lei nº 14.133 de 2021,"10.1 Conceito e Característica – Lei nº 14.133 de 2021, 10.2 Cláusulas Exorbitantes e Equilíbrio Econômico-Financeiro – Lei nº 14.133 de 2021, 10.3 Duração, Extinção, Inexecução, Sanções e Responsabilidade – Lei nº 14.133 de 2021"
Direito Administrativo,11. Bens Públicos na Administração Pública,"11.1 Conceito, classificação, afetação e desafetação, 11.2 Regime jurídico: prerrogativas e garantias, 11.3 Aquisição e alienação dos bens públicos, 11.4 Utilização dos bens públicos, 11.5 Bens públicos em espécie"
Direito Administrativo,12. Serviços Públicos,"12.1 Conceito e Classificação dos Serviços Públicos, 12.2 Princípios dos Serviços Públicos, 12.3 Delegação dos Serviços Públicos - Concessão e Permissão, 12.4 Direito e obrigações dos usuários, 12.5 Parcerias público-privadas"
Direito Administrativo,13. Intervenção do estado na propriedade,"13.1 Noções gerais e desapropriação, 13.2 Limitação administrativa, 13.3 Tombamento, 13.4 Servidão administrativa, 13.5 Requisição administrativa, 13.6 Ocupação temporária"
Direito Administrativo,14. Responsabilidade civil do estado,"14.1 Evolução da responsabilidade civil estatal - Teoria da irresponsabilidade, teorias civilistas e teorias publicistas, 14.2 Previsão constitucional e elementos da responsabilidade civil objetiva do Estado, 14.3 Excludentes e atenuantes da responsabilidade civil objetiva e teoria do risco integral, 14.4 Responsabilidade do Estado por atos omissivos, 14.5 Responsabilidade do Estado por obras públicas, atos legislativos e atos judiciais, 14.6 Reparação do dano, ação de indenização, ação regressiva e prescrição."
Direito Administrativo,15. Controle da administração pública,"15.1 Conceito e Classificação, 15.2 Controle administrativo, judicial e legislativo, 15.3 Tribunais de Contas"
Direito Administrativo,16. Improbidade administrativa - Lei nº 8.429 de 1992 e Lei nº 14.230 de 2021,"16.1 Disposições gerais da Improbidade Administrativa, 16.2 Atos de Improbidade Administrativa e suas Sanções, 16.3 Demais disposições da Lei 8.429/92"
Direito Administrativo,17. Agentes públicos e Lei 8.112 de 1990,"17.1 Cargo, emprego, função, 17.2 Concurso público, 17.3 Provimento e vacância, 17.4 Acumulação de cargos e funções, 17.5 Estabilidade e vitaliciedade, 17.6 Sistema constitucional de remuneração, 17.7 Regime previdenciário, 17.8 Associação sindical e direito de greve, 17.9 Responsabilidades do servidor, 17.10 Lei nº 8.112-1990 - Regime jurídico dos servidores públicos federais"
Direito Administrativo,18. Decreto nº 6.170 de 2007 e Portaria nº 424 de 2016 - Transferência de Recursos da União mediante Convênios e Contratos de Repasse,
Direito Penal,1. Noções Fundamentais,"1.1 Conceitos e caracteres, 1.2 Princípios limitadores do poder punitivo estatal, 1.3 A norma penal, 1.4 Conflito aparente de normas, 1.5 Lei penal no tempo, 1.6 Lei penal no espaço"
Direito Penal,2. Teoria Geral do Delito,"2.1 Sistemas penais, 2.2 Conceito de crime"
Direito Penal,3. Tipicidade,"3.1 Conduta: ação / omissão, 3.2 Crime praticado por pessoa jurídica, 3.3 Tipo Penal Doloso, 3.4 Tipo Penal Culposo, 3.5 Resultado, 3.6 Crimes omissivos, 3.7 Nexo de causalidade, 3.8 Causas absolutamente independentes, 3.9 Causas relativamente independentes, 3.10 Tipicidade formal, 3.11 Consumação e tentativa, 3.12 Desistência voluntária e arrependimento eficaz, 3.13 Crime impossível, 3.14 Arrependimento posterior, 3.15 Crime preterdoloso, 3.16 Imputação objetiva, 3.17 Tipicidade conglobante, 3.18 Erro do tipo essencial, 3.19 Erro de tipo acidental"
Direito Penal,4. Antijuridicidade,"4.1 Noções Gerais Antijuridicidade, 4.2 Legítima defesa, 4.3 Estado de necessidade, 4.4 Estrito cumprimento de dever legal e exercício regular de direito, 4.5 Causas supralegais de exclusão da antijuridicidade"
Direito Penal,5. Culpabilidade,"5.1 Noções Gerais da Culpabilidade, 5.2 Imputabilidade penal, 5.3 Inimputabilidade por doença mental, 5.4 Inimputabilidade pela embriaguez, 5.5 Exigibilidade de conduta diversa, 5.6 Potencial conhecimento da ilicitude – Erro de proibição, 5.7 Descriminantes Putativas"
Direito Penal,6. Concurso de Pessoas,"6.1 Noções gerais de Concursos de Pessoas, 6.2 Autoria e coautoria, 6.3 Participação, 6.4 Punibilidade no concurso de pessoas, 6.5 Cooperação dolosamente distinta"
Direito Penal,7. Concurso de crimes,"7.1 Concurso material, 7.2 Concurso formal, 7.3 Crime continuado"
Direito Penal,8. Classificação dos crimes,"8.1 Crimes comuns, próprios e de mão própria, 8.2 Crimes materiais, formais e de mera conduta, 8.3 Crimes plurissubsistentes e unissubsistentes, 8.4 Crimes plurissubjetivos e monossubjetivos, 8.5 Crimes de dano e crimes de perigo, 8.6 Crimes instantâneos e permanentes, 8.7 Outras classificações"
Direito Penal,9. Sanções penais,"9.1 Conceito de Sanções Penais, 9.2 Finalidades, 9.3 Princípios norteadores da teoria da pena, 9.4 Modalidades de sanções penais"
Direito Penal,10. Penas privativas de liberdade,"10.1 Modalidades das Penas privativas de liberdade, 10.2 Regimes penitenciários, 10.3 Diferenças entre reclusão e detenção, 10.4 Noções gerais de dosimetria da pena privativa de liberdade, 10.5 Primeira fase da dosimetria, 10.6 Segunda fase da dosimetria., 10.7 Reincidência, 10.8 Terceira fase da dosimetria, 10.9 Fixação do regime inicial da pena privativa de liberdade, 10.10 Progressão de regime penitenciário, 10.11 Regressão de regime penitenciário, 10.12 Detração penal, 10.13 Remição de pena, 10.14 Regime Disciplinar Diferenciado"
Direito Penal,11. Modalidades das Penas Restritivas de Direito,"11.1 Conceito e características, 11.2 Substituição - Concessão., 11.3 Substituição - Revogação., 11.4 Suspensão condicional da pena. Concessão., 11.5 Suspensão condicional da pena. Revogação."
Direito Penal,12. Pena de multa,"12.1 Conceito e Características da Pena de Multa, 12.2 Espécies de Pena de Multa, 12.3 Dosimetria, 12.4 Consequências do inadimplemento da pena de multa"
Direito Penal,13. Medida de segurança,"13.1 Conceito de Medida de Segurança, 13.2 Espécies de Medida de Segurança, 13.3 Distinções entre a pena e a medida de segurança, 13.4 Prazo de duração, 13.5 Superveniência de doença mental, 13.6 Inimputabilidade decorrente de dependência química"
Direito Penal,14. Livramento condicional,"14.1 Conceito e consequências, 14.2 Requisitos para a concessão, 14.3 Condições a serem impostas no curso do benefício, 14.4 Causas e consequências da revogação do benefício, 14.5 Prorrogação do período de prova, 14.6 Extinção da pena"
Direito Penal,15. Efeitos da condenação,"15.1 Efeito principal e efeitos secundários, 15.2 Efeitos secundários de natureza penal e de natureza extrapenal, 15.3 Efeitos secundários de natureza extrapenal genéricos, 15.4 Efeitos secundários de natureza extrapenal específicos"
Direito Penal,16. Reabilitação criminal,"16.1 Pressupostos, 16.2 Competência e procedimento, 16.3 Revogação"
Direito Penal,17. Ação penal,"17.1 Conceito, 17.2 Classificação de Ação Penal, 17.3 Ação penal pública incondicionada, 17.4 Ação penal pública condicionada à representação, 17.5 Ação penal pública condicionada à requisição do Ministro da Justiça, 17.6 Ação penal privada propriamente dita ou exclusiva, 17.7 Ação penal privada personalíssima, 17.8 Ação penal privada subsidiária da pública, 17.9 Ação penal no crime de lesão corporal"
Direito Penal,18. Causas de extinção da punibilidade,"18.1 Causas de Extinção da Punibilidade - Noções gerais, 18.2 Morte do agente, 18.3 Anistia, graça e indulto, 18.4 Abolitio criminis, 18.5 Prescrição. Conceito e modalidades, 18.6 Prazos prescricionais e forma de contagem dos prazos, 18.7 Interrupção e suspensão da contagem dos prazos prescricionais, 18.8 Prescrição da pretensão punitiva pela pena em abstrato, 18.9 Prescrição da pretensão punitiva pela pena em concreto, 18.10 Prescrição da pretensão executória, 18.11 Prescrição no processo do Tribunal do Juri, 18.12 Prescrição no concurso de crimes, 18.13 Prescrição da pena de multa, 18.14 Prescrição da medida de segurança, 18.15 Decadência., 18.16 Perempção, 18.17 Renúncia, 18.18 Perdão do ofendido, 18.19 Retratação do agente, 18.20 Perdão judicial"
Direito Penal,19. Crimes contra a vida,"19.1 Homicídio, 19.2 Induzimento, instigação ou auxílio ao suicídio, 19.3 Infanticídio, 19.4 Aborto"
Direito Penal,20. Lesões corporais,"20.1 Lesão corporal e suas diversas modalidades, 20.2 Lesão corporal leve e culposa, 20.3 Lesões corporais qualificadas, 20.4 Violência doméstica"
Direito Penal,21. Periclitação da vida e da saúde,"21.1 Noções gerais sobre os crimes de perigo, 21.2 Perigo para a vida ou a saúde de outrem, 21.3 Abandono de incapaz, 21.4 Exposição ou abandono de recém-nascido, 21.5 Omissão de socorro, 21.6 Maus tratos"
Direito Penal,22. Rixa,
Direito Penal,23. Crimes contra a honra,"23.1 Noções Gerais de Crimes Contra a Honra, 23.2 Calúnia, 23.3 Difamação, 23.4 Injúria, 23.5 Disposições comuns"
Direito Penal,24. Crimes contra a liberdade pessoal,"24.1 Constrangimento ilegal, 24.2 Ameaça, 24.3 Perseguição, 24.4 Violência Psicológica Contra a Mulher, 24.5 Sequestro ou cárcere privado, 24.6 Redução à condição análoga à de escravo, 24.7 Tráfico de Pessoas"
Direito Penal,25. Crimes contra a inviolabilidade do domicílio,
Direito Penal,26. Crimes contra a inviolabilidade de correspondência,
Direito Penal,27. Crimes contra a inviolabilidade de segredos,
Direito Penal,28. Crimes contra o patrimônio,"28.1 Furto, 28.2 Roubo, 28.3 Extorsão, 28.4 Extorsão mediante sequestro, 28.5 Extorsão indireta, 28.6 Usurpação, 28.7 Dano, 28.8 Apropriação indébita, 28.9 Estelionato, 28.10 Abuso de incapazes, 28.11 Outras fraudes, 28.12 Receptação, 28.13 Disposições gerais nos Crimes Contra o Patrimônio"
Direito Penal,29. Crimes contra a propriedade imaterial,
Direito Penal,30. Crimes contra a organização do trabalho,
Direito Penal,31. Crimes contra o sentimento religioso,
Direito Penal,32. Crimes contra o respeito aos mortos,
Direito Penal,33. Crimes contra a dignidade sexual,"33.1 Estupro, 33.2 Registro não autorizado da intimidade sexual, 33.3 Violação sexual mediante fraude, 33.4 Assédio sexual, 33.5 Estupro de vulnerável, 33.6 Corrupção de menores, 33.7 Satisfação de lascívia mediante a presença de criança ou adolescente, 33.8 Favorecimento de prostituição ou outra forma de exploração sexual de vulnerável, 33.9 Divulgação de cena de estupro ou de cena de estupro de vulnerável, de cena de sexo ou de pornografia, 33.10 Disposições Gerais dos crimes contra a liberdade sexual e dos crimes sexuais contra vulneráveis, 33.11 Mediação para satisfazer a lascívia de outrem, 33.12 Favorecimento da prostituição ou outra forma de exploração sexual, 33.13 Casa de prostituição, 33.14 Rufianismo, 33.15 Importunação Sexual, 33.16 Ultraje público ao pudor, 33.17 Divulgação de cena de estupro de vulnerável, de cena de sexo ou de pornografia, 33.18 Promoção de migração ilegal"
Direito Penal,34. Crimes contra a família,"34.1 Bigamia, 34.2 Induzimento a erro essencial e ocultação de impedimento, 34.3 Conhecimento prévio de impedimento, 34.4 Registro de nascimento inexistente, 34.5 Parto suposto. Supressão ou alteração de direito inerente ao estado civil de recém-nascido, 34.6 Sonegação de estado de filiação, 34.7 Abandono material, 34.8 Entrega de filho menor a pessoa inidônea, 34.9 Abandono intelectual, 34.10 Abandono moral, 34.11 Subtração de incapazes"
Direito Penal,35. Crimes contra a incolumidade pública,"35.1 Crimes de perigo comum, 35.2 Crimes contra a segurança dos meios de transporte e outros serviços públicos, 35.3 Crimes contra a saúde pública"
Direito Penal,36. Crimes contra a paz pública,"36.1 Incitação ao crime, 36.2 Apologia de crime ou criminoso, 36.3 Associação criminosa, 36.4 Constituição de Milícia Privada"
Direito Penal,37. Crimes contra a fé pública,"37.1 Moeda falsa, 37.2 Petrechos para falsificação de moeda, 37.3 Falsidade de títulos e outros papéis públicos, 37.4 Falsidade de documento público, 37.5 Falsidade de documento particular, 37.6 Falsidade ideológica, 37.7 Falso reconhecimento de firma ou letra, 37.8 Certidão ou atestado ideologicamente falso, 37.9 Falsidade de atestado médico, 37.10 Uso de documento falso, 37.11 Supressão de documento, 37.12 Fraudes em certames de interesse público, 37.13 Outras falsidades"
